Output,Cit
82.54333333,90.86444444
82.33333333,90.84555556
82.23888889,90.54333333
82.18444444,90.27222222
83.06777778,90
82.38777778,90
83.13555556,89.17888889
82.59333333,89.08444444
83.30333333,89
82.89111111,89
82.98777778,88.99555556
84.83888889,88.33888889
83.67666667,88.24666667
83.27111111,88.23111111
84.79777778,88
84.22,87.91
84.59222222,87.83888889
84.61111111,87.74777778
84.79333333,87.64777778
84.32111111,87.54222222
84.39444444,87.48666667
84.32333333,87.44777778
84.86555556,87.37
83,87.35111111
84.04555556,87.33888889
84.74,87.20333333
84.45666667,87.20333333
84.63444444,87.06777778
83.31222222,87.05555556
84.95777778,87
84.47555556,87
84.42555556,87
84.19,87
84.13888889,87
84.06888889,87
83.66,87
85,86.93222222
84.27111111,86.93222222
85.09777778,86.92111111
83.22,86.89333333
84.67333333,86.86222222
85.20555556,86.81333333
85.17888889,86.68
83.56777778,86.67444444
85.39444444,86.66444444
85.27,86.66222222
84.20444444,86.60555556
84.27666667,86.57888889
85.33777778,86.55777778
84.27,86.52555556
84.86666667,86.44333333
83.47333333,86.41
85.34111111,86.36555556
83.18666667,86.33888889
85.36444444,86.27111111
83.91,86.20333333
85,86.13666667
84.67111111,86.11444444
84.36,86.06888889
83.99666667,86.06777778
85.06888889,86.06
84.79444444,86.01444444
84.59333333,86
83.72777778,86
84.68888889,85.99777778
84.28555556,85.95111111
85.04444444,85.93222222
84.86333333,85.93222222
83.89111111,85.93111111
85,85.86444444
83.52555556,85.86444444
85.40888889,85.86333333
84.86444444,85.75111111
85.16555556,85.74555556
85.40444444,85.73
84.52444444,85.72222222
84.79666667,85.7
85.13555556,85.66222222
85.93,85.65888889
85.46111111,85.63777778
84.94222222,85.60777778
84.93111111,85.58888889
85.82555556,85.58333333
85.55666667,85.57333333
83.96444444,85.56555556
84.86,85.51555556
85.02888889,85.46555556
85.18888889,85.44888889
85.68,85.43222222
83.37555556,85.43111111
85.13555556,85.42111111
84.93,85.40777778
85.37222222,85.40555556
84.72888889,85.40111111
84.94444444,85.36444444
85.60777778,85.36
85.07444444,85.33111111
84.77,85.31222222
84.98444444,85.3
84.93444444,85.29444444
85.73888889,85.27888889
84.95333333,85.23777778
84.86444444,85.22444444
84.27111111,85.20333333
84.99555556,85.19
85.82555556,85.15888889
85.13333333,85.13666667
83.93888889,85.12666667
85.01111111,85.11222222
84.30666667,85.09444444
85.21666667,85.08666667
85.05555556,85.07444444
86.06666667,85.06888889
85,85.06777778
85.61111111,85.06666667
83.72555556,85.06555556
84.01444444,85.03888889
85.34,85
85.29666667,85
85,85
84.71111111,85
84.21555556,85
84.13444444,85
84.06777778,85
83.52444444,85
85.72888889,84.96777778
85.28111111,84.96666667
85.62777778,84.94777778
84.87888889,84.93333333
84.96111111,84.87222222
84.40777778,84.87111111
85.09888889,84.86444444
85.06666667,84.84666667
85.13444444,84.82777778
86.05111111,84.81444444
85.09444444,84.79444444
86.04111111,84.78333333
85.65666667,84.78222222
84.96,84.75777778
85.27666667,84.74444444
84.90333333,84.74444444
86.13444444,84.71
85.03111111,84.67777778
85.06666667,84.67333333
84.40777778,84.65333333
85.12333333,84.62777778
84.93111111,84.62222222
85.20333333,84.59555556
84.93333333,84.59333333
84.41222222,84.59333333
85.13444444,84.58777778
86.02111111,84.56444444
85.20333333,84.55222222
85.27111111,84.47555556
85,84.44555556
86.19,84.43888889
86,84.42222222
84.45888889,84.41666667
86.20333333,84.40666667
84.25444444,84.40666667
84.06888889,84.40666667
84.72555556,84.35444444
85.73,84.32
84.53777778,84.25222222
86.18666667,84.23444444
85.23555556,84.22777778
84.39555556,84.20444444
84.79666667,84.20333333
85.34,84.18777778
83.79666667,84.16222222
85.34333333,84.15111111
86.27,84.13666667
85.34,84.13666667
83.27666667,84.13555556
86.30222222,84.13222222
85,84.12555556
84.37555556,84.12555556
86.12333333,84.11666667
85.91666667,84.11111111
85,84.10333333
85,84.07
85.13555556,84.06666667
85.42111111,84.06444444
86.13555556,84.05666667
86.20111111,84.00444444
86.29555556,84
86.18111111,84
86.13777778,84
86.13666667,84
86.12111111,84
86,84
85.97222222,84
85.56777778,84
85.47333333,84
85.27333333,84
85.27222222,84
85.27,84
85.20333333,84
85.13555556,84
85.09111111,84
85,84
84.76333333,84
85.20333333,83.97444444
85.32111111,83.94666667
85.33111111,83.93222222
85.63333333,83.93111111
85.13555556,83.93111111
84.72777778,83.88333333
86.06111111,83.88111111
86.16777778,83.87222222
85.21777778,83.86444444
85.05444444,83.86444444
85.54444444,83.80555556
86,83.79666667
84.99888889,83.79666667
86.47333333,83.79555556
85.99333333,83.79333333
86.40555556,83.75444444
84.66111111,83.74888889
84.66,83.74222222
85.26555556,83.72666667
85.80777778,83.70555556
84.13,83.69888889
86.06777778,83.68
84.04333333,83.67
85.20888889,83.66222222
85.25888889,83.66111111
85.05,83.66
84.52444444,83.61666667
84.86333333,83.61333333
85.20333333,83.59888889
85.89888889,83.54333333
85.66333333,83.54333333
85.10111111,83.53
84.93555556,83.48444444
84.74666667,83.47777778
